Indicator,Year,Count
İstehlak qiymətləri indeksi ,1995,511.80
"ərzaq məhsulları, içkilər, tütün ",1995,522.40
"Qeyri-ərzaq məhsulları, xidmətlər ",1995,481.20
Qeyri-ərzaq məhsulları ,1995,408.00
ərzaq və qeyri-ərzaq məhsulları ,1995,502.00
Xidmətlər ,1995,601.30
İstehlak qiymətləri indeksi ,1996,119.90
"ərzaq məhsulları, içkilər, tütün ",1996,117.60
"Qeyri-ərzaq məhsulları, xidmətlər ",1996,129.20
Qeyri-ərzaq məhsulları ,1996,117.00
ərzaq və qeyri-ərzaq məhsulları ,1996,117.70
Xidmətlər ,1996,166.30
İstehlak qiymətləri indeksi ,1997,103.70
"ərzaq məhsulları, içkilər, tütün ",1997,99.50
"Qeyri-ərzaq məhsulları, xidmətlər ",1997,118.80
Qeyri-ərzaq məhsulları ,1997,105.60
ərzaq və qeyri-ərzaq məhsulları ,1997,100.50
Xidmətlər ,1997,150.50
İstehlak qiymətləri indeksi ,1998,99.20
"ərzaq məhsulları, içkilər, tütün ",1998,98.70
"Qeyri-ərzaq məhsulları, xidmətlər ",1998,101.30
Qeyri-ərzaq məhsulları ,1998,98.90
ərzaq və qeyri-ərzaq məhsulları ,1998,98.70
Xidmətlər ,1998,106.30
İstehlak qiymətləri indeksi ,1999,91.50
"ərzaq məhsulları, içkilər, tütün ",1999,89.00
"Qeyri-ərzaq məhsulları, xidmətlər ",1999,99.40
Qeyri-ərzaq məhsulları ,1999,97.50
ərzaq və qeyri-ərzaq məhsulları ,1999,90.30
Xidmətlər ,1999,102.30
İstehlak qiymətləri indeksi ,2000,101.80
"ərzaq məhsulları, içkilər, tütün ",2000,102.30
"Qeyri-ərzaq məhsulları, xidmətlər ",2000,100.90
Qeyri-ərzaq məhsulları ,2000,101.90
ərzaq və qeyri-ərzaq məhsulları ,2000,102.20
Xidmətlər ,2000,99.50
İstehlak qiymətləri indeksi ,2001,101.50
"ərzaq məhsulları, içkilər, tütün ",2001,102.70
"Qeyri-ərzaq məhsulları, xidmətlər ",2001,99.60
Qeyri-ərzaq məhsulları ,2001,100.20
ərzaq və qeyri-ərzaq məhsulları ,2001,102.00
Xidmətlər ,2001,98.80
İstehlak qiymətləri indeksi ,2002,102.80
"ərzaq məhsulları, içkilər, tütün ",2002,103.70
"Qeyri-ərzaq məhsulları, xidmətlər ",2002,101.30
Qeyri-ərzaq məhsulları ,2002,102.30
ərzaq və qeyri-ərzaq məhsulları ,2002,103.30
Xidmətlər ,2002,99.80
İstehlak qiymətləri indeksi ,2003,102.20
"ərzaq məhsulları, içkilər, tütün ",2003,103.30
"Qeyri-ərzaq məhsulları, xidmətlər ",2003,100.50
Qeyri-ərzaq məhsulları ,2003,101.00
ərzaq və qeyri-ərzaq məhsulları ,2003,102.70
Xidmətlər ,2003,99.70
İstehlak qiymətləri indeksi ,2004,106.70
"ərzaq məhsulları, içkilər, tütün ",2004,110.00
"Qeyri-ərzaq məhsulları, xidmətlər ",2004,101.20
Qeyri-ərzaq məhsulları ,2004,101.50
ərzaq və qeyri-ərzaq məhsulları ,2004,107.80
Xidmətlər ,2004,100.80
İstehlak qiymətləri indeksi ,2005,109.60
"ərzaq məhsulları, içkilər, tütün ",2005,110.90
"Qeyri-ərzaq məhsulları, xidmətlər ",2005,107.20
Qeyri-ərzaq məhsulları ,2005,105.40
ərzaq və qeyri-ərzaq məhsulları ,2005,109.50
Xidmətlər ,2005,109.70
İstehlak qiymətləri indeksi ,2006,108.30
"ərzaq məhsulları, içkilər, tütün ",2006,111.90
"Qeyri-ərzaq məhsulları, xidmətlər ",2006,104.10
Qeyri-ərzaq məhsulları ,2006,105.30
ərzaq və qeyri-ərzaq məhsulları ,2006,109.80
Xidmətlər ,2006,102.60
İstehlak qiymətləri indeksi ,2007,116.70
"ərzaq məhsulları, içkilər, tütün ",2007,116.20
"Qeyri-ərzaq məhsulları, xidmətlər ",2007,117.10
Qeyri-ərzaq məhsulları ,2007,110.50
ərzaq və qeyri-ərzaq məhsulları ,2007,114.30
Xidmətlər ,2007,125.30
İstehlak qiymətləri indeksi ,2008,120.80
"ərzaq məhsulları, içkilər, tütün ",2008,128.60
"Qeyri-ərzaq məhsulları, xidmətlər ",2008,111.50
Qeyri-ərzaq məhsulları ,2008,111.50
ərzaq və qeyri-ərzaq məhsulları ,2008,123.40
Xidmətlər ,2008,111.40
İstehlak qiymətləri indeksi ,2009,101.50
"ərzaq məhsulları, içkilər, tütün ",2009,98.50
"Qeyri-ərzaq məhsulları, xidmətlər ",2009,105.20
Qeyri-ərzaq məhsulları ,2009,103.40
ərzaq və qeyri-ərzaq məhsulları ,2009,99.90
Xidmətlər ,2009,107.10
İstehlak qiymətləri indeksi ,2010,105.70
"ərzaq məhsulları, içkilər, tütün ",2010,107.20
"Qeyri-ərzaq məhsulları, xidmətlər ",2010,103.20
Qeyri-ərzaq məhsulları ,2010,102.30
ərzaq və qeyri-ərzaq məhsulları ,2010,106.10
Xidmətlər ,2010,104.30
İstehlak qiymətləri indeksi ,2011,107.90
"ərzaq məhsulları, içkilər, tütün ",2011,110.40
"Qeyri-ərzaq məhsulları, xidmətlər ",2011,103.70
Qeyri-ərzaq məhsulları ,2011,102.60
ərzaq və qeyri-ərzaq məhsulları ,2011,108.70
Xidmətlər ,2011,104.70
İstehlak qiymətləri indeksi ,2012,101.10
"ərzaq məhsulları, içkilər, tütün ",2012,100.80
"Qeyri-ərzaq məhsulları, xidmətlər ",2012,101.20
Qeyri-ərzaq məhsulları ,2012,101.00
ərzaq və qeyri-ərzaq məhsulları ,2012,100.90
Xidmətlər ,2012,101.20
İstehlak qiymətləri indeksi ,2013,102.40
"ərzaq məhsulları, içkilər, tütün ",2013,102.20
"Qeyri-ərzaq məhsulları, xidmətlər ",2013,102.30
Qeyri-ərzaq məhsulları ,2013,100.80
ərzaq və qeyri-ərzaq məhsulları ,2013,101.90
Xidmətlər ,2013,103.50
İstehlak qiymətləri indeksi ,2014,101.40
"ərzaq məhsulları, içkilər, tütün ",2014,101.00
"Qeyri-ərzaq məhsulları, xidmətlər ",2014,101.50
Qeyri-ərzaq məhsulları ,2014,103.20
ərzaq və qeyri-ərzaq məhsulları ,2014,101.80
Xidmətlər ,2014,100.30
İstehlak qiymətləri indeksi ,2015,104.00
"ərzaq məhsulları, içkilər, tütün ",2015,106.10
"Qeyri-ərzaq məhsulları, xidmətlər ",2015,102.30
Qeyri-ərzaq məhsulları ,2015,103.80
ərzaq və qeyri-ərzaq məhsulları ,2015,105.40
Xidmətlər ,2015,101.20
İstehlak qiymətləri indeksi ,2016,112.40
"ərzaq məhsulları, içkilər, tütün ",2016,114.70
"Qeyri-ərzaq məhsulları, xidmətlər ",2016,110.70
Qeyri-ərzaq məhsulları ,2016,116.70
ərzaq və qeyri-ərzaq məhsulları ,2016,115.60
Xidmətlər ,2016,105.80
İstehlak qiymətləri indeksi ,2017,112.90
"ərzaq məhsulları, içkilər, tütün ",2017,116.40
"Qeyri-ərzaq məhsulları, xidmətlər ",2017,110.40
Qeyri-ərzaq məhsulları ,2017,111.60
ərzaq və qeyri-ərzaq məhsulları ,2017,114.50
Xidmətlər ,2017,109.30
İstehlak qiymətləri indeksi ,2018,102.30
"ərzaq məhsulları, içkilər, tütün ",2018,101.70
"Qeyri-ərzaq məhsulları, xidmətlər ",2018,102.70
Qeyri-ərzaq məhsulları ,2018,102.60
ərzaq və qeyri-ərzaq məhsulları ,2018,102.00
Xidmətlər ,2018,102.70
İstehlak qiymətləri indeksi ,2019,102.60
"ərzaq məhsulları, içkilər, tütün ",2019,103.80
"Qeyri-ərzaq məhsulları, xidmətlər ",2019,101.70
Qeyri-ərzaq məhsulları ,2019,101.20
ərzaq və qeyri-ərzaq məhsulları ,2019,102.90
Xidmətlər ,2019,102.00
İstehlak qiymətləri indeksi ,2020,102.80
"ərzaq məhsulları, içkilər, tütün ",2020,105.00
"Qeyri-ərzaq məhsulları, xidmətlər ",2020,101.10
Qeyri-ərzaq məhsulları ,2020,101.30
ərzaq və qeyri-ərzaq məhsulları ,2020,103.60
Xidmətlər ,2020,101.00
