,year,England all,England male,England female,Wales all,Wales male,Wales female,Scotland all,Scotland male,Scotland female
0,1992,11.5,11.5,7.6,9.3,11.9,5.9,9.6,10.9,7.9
1,1993,12.3,12.3,7.9,10.1,12.5,7.0,10.1,11.7,8.2
2,1994,11.1,11.1,7.3,9.7,11.3,7.7,9.6,11.0,7.8
3,1995,9.9,9.9,6.8,8.6,9.9,6.9,8.9,10.2,7.2
4,1996,9.2,9.2,6.4,8.4,10.1,6.4,8.7,10.4,6.4
5,1997,7.5,7.5,5.8,7.6,8.9,6.2,8.1,9.4,6.7
6,1998,6.6,6.6,5.3,7.2,8.1,6.1,7.6,8.8,6.2
7,1999,6.3,6.3,5.1,7.3,8.7,5.6,7.1,8.3,5.8
8,2000,5.7,5.7,4.7,6.3,7.3,5.1,6.8,7.6,6.0
9,2001,5.3,5.3,4.4,5.9,6.7,4.9,6.4,7.4,5.2
10,2002,5.6,5.6,4.4,5.4,5.9,4.8,6.3,7.3,5.2
11,2003,5.4,5.4,4.4,4.7,5.7,3.6,5.7,6.7,4.7
12,2004,4.9,4.9,4.3,4.5,4.6,4.3,5.7,6.6,4.6
13,2005,5.2,5.2,4.4,4.6,5.6,3.5,5.4,5.9,4.8
14,2006,5.8,5.8,5.2,5.3,5.9,4.5,5.3,5.8,4.7
15,2007,5.7,5.7,5.1,5.3,5.3,5.4,4.8,4.9,4.7
16,2008,6.2,6.2,5.3,6.0,6.7,5.1,4.7,5.2,4.2
17,2009,8.6,8.6,6.6,8.1,9.6,6.4,7.0,8.0,5.8
18,2010,8.5,8.5,7.0,8.6,10.0,7.1,8.2,9.4,6.9
19,2011,8.6,8.6,7.6,8.7,10.4,6.8,8.1,9.1,7.0
20,2012,8.3,8.3,7.5,8.6,8.8,8.3,8.0,8.6,7.3
21,2013,8.0,8.0,7.2,7.7,8.1,7.3,7.3,7.7,6.8
22,2014,6.3,6.3,6.0,6.7,7.5,5.7,6.0,6.9,5.1
23,2015,5.3,5.3,5.2,5.9,7.0,4.8,5.8,6.4,5.2
24,2016,4.9,4.9,4.8,4.5,5.1,3.8,5.2,5.8,4.6
25,2017,4.4,4.4,4.4,4.6,4.8,4.4,4.2,4.7,3.7
26,2018,4.1,4.1,4.2,4.1,4.5,3.7,3.9,4.5,3.3
27,2019,4.1,4.1,3.7,3.8,4.1,3.5,3.5,3.8,3.3
28,2020,5.0,5.0,4.4,3.8,3.8,4.0,4.5,5.1,4.0
29,2021,4.8,4.8,4.4,3.9,4.3,3.5,4.3,4.7,4.0
30,2022,3.9,3.9,3.8,3.5,3.8,3.3,3.4,4.4,2.5
31,2023,4.4,4.4,3.8,4.1,4.2,3.9,4.1,4.8,3.3
