,country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Kazakhstan,22451.0,23127.0,23607.0,24689.0,23321.0,21705.0,22808.0,19477.0,21819.0,21227.0
1,Canada,9331.0,9124.0,13325.0,14039.0,13116.0,7001.0,6938.0,3885.0,4693.0,7351.0
2,Namibia,4323.0,3255.0,2993.0,3654.0,4224.0,5525.0,5476.0,5413.0,5753.0,5613.0
3,Australia,6350.0,5001.0,5654.0,6315.0,5882.0,6517.0,6613.0,6203.0,4192.0,4553.0
4,Uzbekistan,2400.0,2400.0,2385.0,3325.0,3400.0,3450.0,3500.0,3500.0,3520.0,3300.0
5,Russia,3135.0,2990.0,3055.0,3004.0,2917.0,2904.0,2911.0,2846.0,2635.0,2508.0
6,Niger,4518.0,4057.0,4116.0,3479.0,3449.0,2911.0,2983.0,2991.0,2248.0,2020.0
7,China,1500.0,1500.0,1616.0,1616.0,1692.0,1885.0,1885.0,1885.0,1600.0,1700.0
8,India,385.0,285.0,385.0,385.0,421.0,423.0,308.0,400.0,600.0,600.0
9,South Africa,531.0,573.0,393.0,490.0,308.0,346.0,346.0,250.0,192.0,200.0
10,Ukraine,922.0,926.0,1200.0,808.0,707.0,790.0,800.0,744.0,455.0,100.0
11,United States,1792.0,1919.0,1256.0,1125.0,940.0,582.0,58.0,6.0,8.0,75.0
12,Pakistan,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
13,Brazil,192.0,55.0,40.0,44.0,0.0,0.0,0.0,15.0,29.0,43.0
14,Iran,0.0,0.0,38.0,0.0,40.0,71.0,71.0,71.0,21.0,20.0
15,Czech Republic,215.0,193.0,155.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Romania,77.0,77.0,77.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
17,France,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Germany,27.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Malawi,1132.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
